Stadt;Fläche km2;Einwohner;PLZ;Längengrad;Breitengrad;Bundesland
Münstertal/Schwarzwald;67.74;5108;79244;7,784148;47,854495;Baden-Württemberg
Eisenbach (Hochschwarzwald);28.77;2136;79871;8,270993;47,962172;Baden-Württemberg
Titisee-Neustadt;89.64;12197;79822;8,208431;47,916511;Baden-Württemberg
Denzlingen;16.94;13686;79211;7,883854;48,066785;Baden-Württemberg
Reute;4.79;2841;79276;7,821489;48,082424;Baden-Württemberg
Vörstetten;7.88;3139;79279;7,849274;48,065026;Baden-Württemberg
Biederbach;31.35;1696;79215;8,034739;48,193856;Baden-Württemberg
Elzach;75.28;7347;79215;8,069355;48,172277;Baden-Württemberg
Winden im Elztal;21.95;2842;79297;8,0387;48,153972;Baden-Württemberg
Emmendingen;33.78;28207;79312;7,847625;48,122053;Baden-Württemberg
Malterdingen;11.13;3218;79364;7,792722;48,161274;Baden-Württemberg
Sexau;16.29;3528;79350;7,90734;48,102953;Baden-Württemberg
Teningen;40.26;12145;79331;7,810263;48,126973;Baden-Württemberg
Freiamt;52.9;4212;79348;7,898241;48,186707;Baden-Württemberg
Herbolzheim;35.48;11156;79336;7,777447;48,222221;Baden-Württemberg
Kenzingen;36.93;10614;79341;7,769903;48,193031;Baden-Württemberg
Weisweil;19.09;2164;79367;7,677646;48,197178;Baden-Württemberg
Rheinhausen;22;4045;79365;7,710299;48,224065;Baden-Württemberg
Bahlingen am Kaiserstuhl;12.66;4388;79353;7,738996;48,1229;Baden-Württemberg
Endingen am Kaiserstuhl;26.7;10296;79346;7,701325;48,142314;Baden-Württemberg
Forchheim;10.78;1442;79362;7,702799;48,161908;Baden-Württemberg
Riegel am Kaiserstuhl;18.33;4035;79359;7,747913;48,151551;Baden-Württemberg
Sasbach am Kaiserstuhl;20.78;3415;79361;7,616064;48,13972;Baden-Württemberg
Wyhl am Kaiserstuhl;16.95;3918;79369;7,64869;48,165834;Baden-Württemberg
Gutach im Breisgau;24.78;4640;79261;7,986537;48,117019;Baden-Württemberg
Simonswald;74.31;3072;79263;8,054831;48,100471;Baden-Württemberg
Waldkirch;48.47;21899;79183;7,961225;48,093941;Baden-Württemberg
Appenweier;38.02;10214;77767;7,978133;48,537224;Baden-Württemberg
Friesenheim;46.57;13412;77948;7,881795;48,373236;Baden-Württemberg
Hornberg;54.45;4242;78132;8,229573;48,212461;Baden-Württemberg
Kehl;75.07;37378;77694;7,813177;48,572447;Baden-Württemberg
Willstätt;55.27;9893;77731;7,893251;48,541564;Baden-Württemberg
Neuried;57.84;9841;77743;7,807163;48,467234;Baden-Württemberg
Rheinau;73.5;11249;77866;7,939856;48,664363;Baden-Württemberg
Achern;65.24;25776;77855;8,074429;48,628851;Baden-Württemberg
Lauf;15;3993;77886;8,131381;48,649219;Baden-Württemberg
Sasbach;16.73;5277;77880;8,091829;48,638758;Baden-Württemberg
Sasbachwalden;18.13;2561;77887;8,125871;48,618538;Baden-Württemberg
Ettenheim;48.8;13603;77955;7,812984;48,254555;Baden-Württemberg
Mahlberg;16.59;5326;77972;7,809923;48,288279;Baden-Württemberg
Ringsheim;11.31;2446;77975;7,778635;48,24673;Baden-Württemberg
Rust;13.27;4439;77977;7,726081;48,269294;Baden-Württemberg
Kappel-Grafenhausen;25.72;5195;77966;7,743559;48,291847;Baden-Württemberg
Berghaupten;9.68;2437;77791;7,987138;48,407309;Baden-Württemberg
Gengenbach;61.9;10946;77723;8,013343;48,405617;Baden-Württemberg
Ohlsbach;11.14;3340;77797;7,993608;48,43135;Baden-Württemberg
Fischerbach;20.29;1762;77716;8,110824;48,287203;Baden-Württemberg
Haslach im Kinzigtal;18.67;7152;77716;8,087753;48,276357;Baden-Württemberg
Hofstetten;18.16;1803;77716;8,068304;48,257209;Baden-Württemberg
Mühlenbach;31.22;1682;77796;8,111663;48,253642;Baden-Württemberg
Steinach;33.32;3931;77790;8,0571;48,303005;Baden-Württemberg
Gutach (Schwarzwaldbahn);31.74;2310;77793;8,209934;48,251539;Baden-Württemberg
Hausach;36.07;5737;77756;8,171188;48,28416;Baden-Württemberg
Kappelrodeck;17.93;6146;77876;8,117423;48,591492;Baden-Württemberg
Ottenhöfen im Schwarzwald;25.26;3214;77883;8,152611;48,567952;Baden-Württemberg
Seebach;19.04;1421;77889;8,169128;48,57575;Baden-Württemberg
Kippenheim;20.85;5586;77971;7,82454;48,294627;Baden-Württemberg
Lahr/Schwarzwald;69.84;47891;77933;7,874292;48,339132;Baden-Württemberg
Bad Peterstal-Griesbach;41.2;2732;77740;8,205832;48,428963;Baden-Württemberg
Oppenau;72.98;4821;77728;8,165057;48,474717;Baden-Württemberg
Lautenbach;21.54;1929;77794;8,116643;48,521148;Baden-Württemberg
Oberkirch;69.1;19929;77704;8,077097;48,531805;Baden-Württemberg
Renchen;32.08;7414;77871;8,013581;48,587888;Baden-Württemberg
Durbach;26.31;4029;77770;8,015098;48,494785;Baden-Württemberg
Hohberg;28.95;8178;77749;7,908087;48,423963;Baden-Württemberg
Offenburg;78.37;60857;77652;7,944214;48,469474;Baden-Württemberg
Ortenberg;5.66;3423;77799;7,971409;48,451257;Baden-Württemberg
Schutterwald;21.04;7226;77746;7,887414;48,453676;Baden-Württemberg
Schuttertal;50.27;3148;77978;7,956647;48,269141;Baden-Württemberg
Seelbach;29.83;4951;77960;7,940929;48,310109;Baden-Württemberg
Meißenheim;21.35;4073;77974;7,775836;48,408333;Baden-Württemberg
Schwanau;38.35;7205;77963;7,757697;48,386219;Baden-Württemberg
Oberwolfach;51.26;2574;77709;8,216772;48,317073;Baden-Württemberg
Wolfach;67.98;5690;77709;8,222231;48,298549;Baden-Württemberg
Biberach;22.39;3730;77781;8,028167;48,338696;Baden-Württemberg
Nordrach;37.75;1847;77787;8,078796;48,397329;Baden-Württemberg
Oberharmersbach;40.92;2442;77784;8,126396;48,373266;Baden-Württemberg
Zell am Harmersbach;36.41;8134;77736;8,062103;48,346261;Baden-Württemberg
Dornhan;44.91;6144;72175;8,510397;48,350916;Baden-Württemberg
Dunningen;48.45;6464;78655;8,50459;48,212884;Baden-Württemberg
Eschbronn;10.98;2084;78664;8,457819;48,185315;Baden-Württemberg
Epfendorf;29.68;3222;78736;8,594825;48,2489;Baden-Württemberg
Oberndorf am Neckar;55.92;14372;78727;8,57303;48,289033;Baden-Württemberg
Fluorn-Winzeln;24.6;3159;78737;8,492724;48,2853;Baden-Württemberg
Dietingen;42.26;4207;78661;8,650478;48,207017;Baden-Württemberg
Rottweil;71.76;24984;78628;8,627337;48,167866;Baden-Württemberg
Wellendingen;17.48;3314;78669;8,703656;48,147478;Baden-Württemberg
Zimmern ob Rottweil;33.76;6352;78658;8,590787;48,167498;Baden-Württemberg
Deißlingen;32.15;6232;78652;8,605369;48,114542;Baden-Württemberg
Schenkenzell;42.14;1838;77773;8,371174;48,310998;Baden-Württemberg
Schiltach;34.21;3741;77761;8,342344;48,290209;Baden-Württemberg
Aichhalden;25.75;4208;78733;8,398748;48,269444;Baden-Württemberg
Hardt;10.6;2512;78739;8,411379;48,18411;Baden-Württemberg
Lauterbach;19.97;2834;78730;8,345417;48,228849;Baden-Württemberg
Schramberg;80.7;20972;78713;8,386187;48,225467;Baden-Württemberg
Sulz am Neckar;87.62;12560;72172;8,632773;48,366375;Baden-Württemberg
Vöhringen;24.71;4483;72189;8,661091;48,336848;Baden-Württemberg
Bösingen;22.45;3361;78662;8,558294;48,239368;Baden-Württemberg
Villingendorf;9.33;3403;78667;8,590079;48,202342;Baden-Württemberg
Bad Dürrheim;62.08;13397;78073;8,530554;48,022026;Baden-Württemberg
Blumberg;98.72;10103;78176;8,534256;47,839705;Baden-Württemberg
Königsfeld im Schwarzwald;40.2;5939;78126;8,421452;48,138624;Baden-Württemberg
St. Georgen im Schwarzwald;59.85;12998;78112;8,332259;48,126225;Baden-Württemberg
Vöhrenbach;70.47;3715;78147;8,304492;48,045545;Baden-Württemberg
Bräunlingen;62.14;5945;78199;8,448829;47,930249;Baden-Württemberg
Donaueschingen;104.69;22150;78166;8,497777;47,951414;Baden-Württemberg
Hüfingen;58.53;7859;78183;8,488945;47,9255;Baden-Württemberg
Furtwangen im Schwarzwald;82.57;8876;78120;8,205476;48,051584;Baden-Württemberg
Gütenbach;18.49;1122;78148;8,138596;48,044875;Baden-Württemberg
Schönwald im Schwarzwald;27.8;2533;78141;8,201148;48,101542;Baden-Württemberg
Schonach im Schwarzwald;36.71;3992;78136;8,199878;48,143166;Baden-Württemberg
Triberg im Schwarzwald;33.33;4651;78098;8,231158;48,128904;Baden-Württemberg
Dauchingen;10.03;3844;78083;8,552862;48,090373;Baden-Württemberg
Mönchweiler;9.56;2964;78087;8,429216;48,101001;Baden-Württemberg
Niedereschach;33.08;5980;78078;8,528615;48,132561;Baden-Württemberg
Tuningen;15.59;3068;78609;8,602088;48,026202;Baden-Württemberg
Unterkirnach;13.17;2591;78089;8,366416;48,078557;Baden-Württemberg
Villingen-Schwenningen;165.53;86475;78050;8,459649;48,058255;Baden-Württemberg
Brigachtal;22.8;5183;78086;8,470163;48,016006;Baden-Württemberg
Bärenthal;12.69;482;78580;8,926748;48,072882;Baden-Württemberg
Buchheim;18.3;720;88637;8,986749;48,010647;Baden-Württemberg
Fridingen an der Donau;22.47;3100;78567;8,932884;48,021685;Baden-Württemberg
Irndorf;14.56;695;78597;8,971759;48,066334;Baden-Württemberg
Kolbingen;16.5;1240;78600;8,890061;48,05345;Baden-Württemberg
Mühlheim an der Donau;21.74;3577;78570;8,886713;48,02953;Baden-Württemberg
Renquishausen;7.71;761;78603;8,894462;48,083032;Baden-Württemberg
Bubsheim;8.29;1405;78585;8,829637;48,120602;Baden-Württemberg
Deilingen;10.91;1848;78586;8,783591;48,177135;Baden-Württemberg
Egesheim;7.67;632;78592;8,85666;48,116065;Baden-Württemberg
Gosheim;9.32;3802;78559;8,752701;48,135752;Baden-Württemberg
Königsheim;4.37;601;78598;8,86116;48,101089;Baden-Württemberg
Reichenbach am Heuberg;6.1;468;78564;8,841964;48,131004;Baden-Württemberg
Wehingen;14.59;3681;78564;8,791749;48,145107;Baden-Württemberg
Geisingen;73.75;6347;78187;8,650319;47,922537;Baden-Württemberg
Immendingen;74.05;6473;78194;8,733578;47,939111;Baden-Württemberg
Aldingen;22.17;7567;78554;8,702513;48,094541;Baden-Württemberg
Balgheim;7.61;1282;78582;8,763938;48,066254;Baden-Württemberg
Böttingen;16.31;1380;78583;8,806575;48,100422;Baden-Württemberg
Denkingen;15.03;2836;78588;8,736458;48,111044;Baden-Württemberg
Dürbheim;14.82;1702;78589;8,789761;48,058513;Baden-Württemberg
Frittlingen;8.79;2148;78665;8,707624;48,127077;Baden-Württemberg
Hausen ob Verena;5.87;790;78595;8,722;48,053362;Baden-Württemberg
Mahlstetten;12.2;805;78601;8,836187;48,075403;Baden-Württemberg
Spaichingen;18.5;13407;78549;8,739277;48,073153;Baden-Württemberg
Durchhausen;9;1024;78591;8,674735;48,039692;Baden-Württemberg
Gunningen;5.44;769;78594;8,69527;48,045705;Baden-Württemberg
Talheim;13.12;1254;78607;8,662077;48,01059;Baden-Württemberg
Trossingen;24.2;17095;78647;8,632659;48,074438;Baden-Württemberg
Neuhausen ob Eck;46.25;3840;78579;8,926451;47,973404;Baden-Württemberg
Tuttlingen;90.45;36672;78532;8,818761;47,983725;Baden-Württemberg
Wurmlingen;15.42;3838;78573;8,779827;48,004959;Baden-Württemberg
Seitingen-Oberflacht;19.65;2542;78606;8,729855;48,021345;Baden-Württemberg
Rietheim-Weilheim;11.98;2843;78604;8,776063;48,040981;Baden-Württemberg
Emmingen-Liptingen;54.54;4788;78576;8,85409;47,932278;Baden-Württemberg
Hilzingen;53.02;8912;78247;8,777866;47,765627;Baden-Württemberg
Radolfzell am Bodensee;58.55;31582;78315;8,968663;47,739107;Baden-Württemberg
Tengen;62.03;4696;78250;8,661028;47,821272;Baden-Württemberg
Aach;10.68;2304;78267;8,851043;47,8428;Baden-Württemberg
Engen;70.56;11101;78234;8,772115;47,854017;Baden-Württemberg
Mühlhausen-Ehingen;17.82;3938;78259;8,810044;47,810044;Baden-Württemberg
Büsingen am Hochrhein;7.62;1548;78266;8,690368;47,697114;Baden-Württemberg
Gailingen am Hochrhein;13.18;2887;78262;8,754804;47,696988;Baden-Württemberg
Gottmadingen;23.58;10750;78244;8,777019;47,735149;Baden-Württemberg
Gaienhofen;12.52;3362;78343;8,981837;47,68226;Baden-Württemberg
Moos;14.37;3390;78345;8,934137;47,726042;Baden-Württemberg
Öhningen;28.18;3632;78337;8,885442;47,661803;Baden-Württemberg
Allensbach;26.53;7204;78476;9,070194;47,715742;Baden-Württemberg
Konstanz;54.12;84736;78462;9,175957;47,662757;Baden-Württemberg
Reichenau;12.71;5250;78479;9,060705;47,698036;Baden-Württemberg
Singen (Hohentwiel);61.77;48587;78224;8,835117;47,759711;Baden-Württemberg
Steißlingen;24.52;4964;78256;8,92425;47,79781;Baden-Württemberg
Volkertshausen;5.15;3215;78269;8,869619;47,821701;Baden-Württemberg
Rielasingen-Worblingen;18.59;11995;78239;8,846;47,728398;Baden-Württemberg
Eigeltingen;59.27;3896;78253;8,897744;47,8592;Baden-Württemberg
Mühlingen;32.67;2666;78357;9,017365;47,912992;Baden-Württemberg
Stockach;69.73;17118;78333;9,00899;47,848855;Baden-Württemberg
Hohenfels;30.49;2082;78355;9,109328;47,885245;Baden-Württemberg
Bodman-Ludwigshafen;28.08;4742;78351;9,05777;47,821518;Baden-Württemberg
Orsingen-Nenzingen;22.23;3540;78359;8,958608;47,843112;Baden-Württemberg
Efringen-Kirchen;43.75;8621;79588;7,565548;47,649597;Baden-Württemberg
Steinen;46.85;10013;79585;7,73952;47,643739;Baden-Württemberg
Todtnau;69.75;4804;79674;7,947591;47,82939;Baden-Württemberg
Weil am Rhein;19.46;30251;79576;7,629579;47,594284;Baden-Württemberg
Grenzach-Wyhlen;17.26;14848;79639;7,658946;47,553081;Baden-Württemberg
Kleines Wiesental;77.82;2838;79692;7,794808;47,71944;Baden-Württemberg
Kandern;62.26;8348;79400;7,662899;47,714834;Baden-Württemberg
Malsburg-Marzell;24.9;1463;79429;7,708589;47,731941;Baden-Württemberg
Inzlingen;9.48;2530;79594;7,690549;47,587829;Baden-Württemberg
Lörrach;39.37;49318;79539;7,659191;47,612096;Baden-Württemberg
Rheinfelden (Baden);62.84;33045;79618;7,78365;47,561128;Baden-Württemberg
Schwörstadt;20.03;2572;79739;7,881039;47,594036;Baden-Württemberg
Bad Bellingen;16.93;4856;79415;7,556809;47,731696;Baden-Württemberg
Schliengen;37.46;5827;79418;7,577673;47,754977;Baden-Württemberg
Aitern;9.21;513;79677;7,894621;47,803346;Baden-Württemberg
Böllen;5.67;102;79677;7,839713;47,801742;Baden-Württemberg
Fröhnd;16.19;472;79677;7,883067;47,758286;Baden-Württemberg
Schönau im Schwarzwald;14.72;2415;79677;7,894115;47,786085;Baden-Württemberg
Schönenberg;7.43;341;79677;7,880934;47,793602;Baden-Württemberg
Tunau;4.05;178;79677;7,923595;47,786246;Baden-Württemberg
Utzenfeld;7.4;600;79694;7,916875;47,801761;Baden-Württemberg
Wembach;1.8;336;79677;7,888029;47,772937;Baden-Württemberg
Wieden;12.25;515;79695;7,88345;47,841721;Baden-Württemberg
Hasel;11.65;1138;79686;7,897903;47,654288;Baden-Württemberg
Hausen im Wiesental;5.14;2317;79688;7,8401;47,681727;Baden-Württemberg
Maulburg;9.75;4257;79689;7,77816;47,640837;Baden-Württemberg
Schopfheim;67.93;19922;79650;7,822962;47,650141;Baden-Württemberg
Binzen;5.81;3005;79589;7,627773;47,631528;Baden-Württemberg
Eimeldingen;3.55;2526;79591;7,595534;47,630772;Baden-Württemberg
Fischingen;1.89;754;79592;7,597834;47,650526;Baden-Württemberg
Rümmingen;4.46;1881;79595;7,642922;47,641307;Baden-Württemberg
Schallbach;3.95;796;79597;7,626845;47,654705;Baden-Württemberg
Wittlingen;4.5;913;79599;7,648466;47,65692;Baden-Württemberg
Zell im Wiesental;36.12;6289;79669;7,852117;47,707567;Baden-Württemberg
Häg-Ehrsberg;25.04;841;79685;7,906265;47,742861;Baden-Württemberg
Albbruck;39.7;7495;79774;8,130079;47,591149;Baden-Württemberg
Görwihl;50.41;4189;79733;8,07848;47,641249;Baden-Württemberg
Klettgau;45.87;7638;79771;8,420527;47,658934;Baden-Württemberg
Laufenburg (Baden);23.57;9045;79725;8,061623;47,565321;Baden-Württemberg
Stühlingen;93.2;5395;79780;8,445849;47,745475;Baden-Württemberg
Wehr;35.64;13090;79664;7,904562;47,629747;Baden-Württemberg
Bonndorf im Schwarzwald;75.91;6969;79848;8,343011;47,819632;Baden-Württemberg
Wutach;30.51;1180;79879;8,444351;47,837555;Baden-Württemberg
Dettighofen;14.38;1153;79802;8,483506;47,623497;Baden-Württemberg
Jestetten;20.62;5221;79798;8,567756;47,649692;Baden-Württemberg
Lottstetten;13.39;2294;79807;8,573676;47,627729;Baden-Württemberg
Hohentengen am Hochrhein;27.59;3941;79801;8,434369;47,570554;Baden-Württemberg
Küssaberg;26.17;5422;79790;8,305426;47,589996;Baden-Württemberg
Grafenhausen;48.54;2235;79865;8,262034;47,772892;Baden-Württemberg
Ühlingen-Birkendorf;77.08;5340;79777;8,317652;47,718673;Baden-Württemberg
Herrischried;37.51;2706;79737;8,001829;47,665518;Baden-Württemberg
Murg;20.91;6907;79730;8,020644;47,55475;Baden-Württemberg
Rickenbach;34.65;3916;79736;7,980212;47,619901;Baden-Württemberg
Bad Säckingen;25.35;17552;79713;7,948758;47,552535;Baden-Württemberg
Bernau im Schwarzwald;38;1956;79872;8,036108;47,80166;Baden-Württemberg
Dachsberg (Südschwarzwald);35.6;1408;79875;8,100949;47,729949;Baden-Württemberg
Häusern;8.88;1307;79837;8,16842;47,754099;Baden-Württemberg
Höchenschwand;29.56;2703;79862;8,166213;47,735352;Baden-Württemberg
Ibach;21.38;347;79837;8,067051;47,743143;Baden-Württemberg
St. Blasien;54.41;3908;79837;8,125605;47,761671;Baden-Württemberg
Todtmoos;28.09;1962;79682;8,000825;47,739405;Baden-Württemberg
Dogern;7.45;2291;79804;8,172428;47,60884;Baden-Württemberg
Lauchringen;12.77;7992;79787;8,304688;47,630759;Baden-Württemberg
Weilheim;35.65;3096;79809;8,24114;47,658072;Baden-Württemberg
Waldshut-Tiengen;77.96;24207;79761;8,271113;47,632439;Baden-Württemberg
Wutöschingen;26.47;6621;79793;8,366501;47,659937;Baden-Württemberg
Eggingen;13.95;1763;79805;8,387665;47,700751;Baden-Württemberg
Dettingen an der Erms;15.79;9743;72581;9,346973;48,529679;Baden-Württemberg
Eningen unter Achalm;23.13;11184;72800;9,259408;48,486636;Baden-Württemberg
Pfullingen;30.14;18749;72793;9,226443;48,466279;Baden-Württemberg
Reutlingen;87.04;116456;72764;9,212006;48,49208;Baden-Württemberg
Trochtelfingen;79.2;6298;72818;9,246991;48,308771;Baden-Württemberg
Wannweil;5.34;5406;72827;9,151047;48,517041;Baden-Württemberg
Sonnenbühl;61.25;7075;72820;9,179523;48,38956;Baden-Württemberg
Lichtenstein;34.24;9194;72805;9,254311;48,430248;Baden-Württemberg
St. Johann;58.92;5175;72813;9,341319;48,452886;Baden-Württemberg
Engstingen;31.52;5215;72829;9,285676;48,387146;Baden-Württemberg
Hohenstein;61.71;3734;72531;9,3727;48,348388;Baden-Württemberg
Grafenberg;3.5;2766;72661;9,305273;48,566126;Baden-Württemberg
Metzingen;34.55;22084;72555;9,283998;48,536849;Baden-Württemberg
Riederich;4.64;4330;72585;9,268552;48,560229;Baden-Württemberg
Gomadingen;45.83;2252;72532;9,386957;48,401333;Baden-Württemberg
Mehrstetten;17.1;1456;72537;9,566367;48,376623;Baden-Württemberg
Münsingen;116.93;14524;72525;9,494863;48,411369;Baden-Württemberg
Pliezhausen;17.31;9779;72124;9,20596;48,559129;Baden-Württemberg
Walddorfhäslach;14.44;5419;72141;9,183734;48,586231;Baden-Württemberg
Grabenstetten;14.53;1673;72582;9,461456;48,523681;Baden-Württemberg
Hülben;6.41;3022;72584;9,408307;48,520004;Baden-Württemberg
Bad Urach;55.42;12561;72574;9,400021;48,493051;Baden-Württemberg
Römerstein;46.04;4058;72587;9,514668;48,496398;Baden-Württemberg
Hayingen;63.37;2174;72534;9,475391;48,274365;Baden-Württemberg
Pfronstetten;54.09;1519;72539;9,362101;48,275033;Baden-Württemberg
Zwiefalten;45.39;2312;88529;9,462051;48,233888;Baden-Württemberg
Gutsbezirk Münsingen;64.63;0;72525;9,559519;48,445745;Baden-Württemberg
Dettenhausen;11.02;5430;72135;9,100748;48,607603;Baden-Württemberg
Kirchentellinsfurt;10.99;5653;72138;9,149618;48,53123;Baden-Württemberg
Kusterdingen;24.24;8714;72127;9,120318;48,521842;Baden-Württemberg
Tübingen;108.06;91877;72070;9,054572;48,520863;Baden-Württemberg
Ammerbuch;48.04;11318;72119;8,965949;48,553816;Baden-Württemberg
Dußlingen;13.05;6265;72144;9,054599;48,452421;Baden-Württemberg
Gomaringen;17.32;9163;72810;9,096513;48,452476;Baden-Württemberg
Nehren;8.58;4466;72147;9,069494;48,431274;Baden-Württemberg
Bodelshausen;13.83;5819;72411;8,9735;48,392533;Baden-Württemberg
Mössingen;50.03;20567;72116;9,057746;48,405779;Baden-Württemberg
Ofterdingen;15.15;5376;72131;9,030929;48,42084;Baden-Württemberg
Hirrlingen;12.83;3190;72145;8,887737;48,412349;Baden-Württemberg
Rottenburg am Neckar;142.26;43843;72108;8,936507;48,479475;Baden-Württemberg
Neustetten;15.87;3758;72149;8,882594;48,481308;Baden-Württemberg
Starzach;27.84;4367;72181;8,812421;48,432044;Baden-Württemberg
Burladingen;123.3;12169;72393;9,1153;48,28913;Baden-Württemberg
Haigerloch;76.44;10836;72401;8,804191;48,366535;Baden-Württemberg
Rosenfeld;51.11;6436;72348;8,722932;48,286035;Baden-Württemberg
Bitz;8.82;3758;72475;9,092414;48,244285;Baden-Württemberg
Albstadt;134.4;45737;72458;9,026328;48,214156;Baden-Württemberg
Balingen;90.32;34604;72336;8,851349;48,275846;Baden-Württemberg
Geislingen;31.96;5912;72351;8,811353;48,287956;Baden-Württemberg
Bisingen;32.83;9751;72406;8,917087;48,310155;Baden-Württemberg
Grosselfingen;16.15;2181;72415;8,883505;48,335162;Baden-Württemberg
Hechingen;66.41;19156;72379;8,962947;48,351487;Baden-Württemberg
Jungingen;9.33;1348;72417;9,040988;48,328627;Baden-Württemberg
Rangendingen;21.66;5283;72414;8,885614;48,382119;Baden-Württemberg
Meßstetten;76.8;10766;72469;8,963167;48,180979;Baden-Württemberg
Nusplingen;20.76;1865;72362;8,890352;48,132002;Baden-Württemberg
Obernheim;15.01;1505;72364;8,861492;48,162516;Baden-Württemberg
Dautmergen;4.54;442;72356;8,741018;48,242737;Baden-Württemberg
Dormettingen;6.55;1084;72358;8,771419;48,238093;Baden-Württemberg
Dotternhausen;10.01;1855;72359;8,792911;48,228177;Baden-Württemberg
Hausen am Tann;8.49;503;72361;8,836598;48,198362;Baden-Württemberg
Ratshausen;5.76;752;72365;8,792083;48,195108;Baden-Württemberg
Schömberg;23.25;4752;72355;8,758829;48,211609;Baden-Württemberg
Weilen unter den Rinnen;3.08;601;72367;8,76575;48,189327;Baden-Württemberg
Zimmern unter der Burg;5.04;456;72369;8,718808;48,220374;Baden-Württemberg
Straßberg;24.91;2443;72479;9,092476;48,176381;Baden-Württemberg
Winterlingen;50.63;6350;72474;9,117643;48,178723;Baden-Württemberg
Ulm;118.68;126949;89073;9,990402;48,398454;Baden-Württemberg
Erbach;63.29;13797;89155;9,892784;48,326196;Baden-Württemberg
Schelklingen;75.87;6882;89601;9,734923;48,372526;Baden-Württemberg
Blaustein;55.61;16305;89134;9,921863;48,416145;Baden-Württemberg
Allmendingen;45.87;4630;89604;9,72429;48,330714;Baden-Württemberg
Altheim;7.8;622;89605;9,770679;48,327677;Baden-Württemberg
Berghülen;26.13;2026;89180;9,761209;48,464015;Baden-Württemberg
Blaubeuren;79.11;12504;89143;9,783757;48,412587;Baden-Württemberg
Dietenheim;18.75;6859;89165;10,069592;48,212211;Baden-Württemberg
Illerrieden;18.16;3373;89186;10,053883;48,271364;Baden-Württemberg
Balzheim;17.57;2121;88481;10,076078;48,180798;Baden-Württemberg
Beimerstetten;14.34;2494;89179;9,98581;48,481886;Baden-Württemberg
Dornstadt;59.23;9036;89160;9,943366;48,466665;Baden-Württemberg
Westerstetten;13.1;2236;89198;9,950835;48,521516;Baden-Württemberg
Ehingen (Donau);178.33;26766;89584;9,725211;48,283666;Baden-Württemberg
Griesingen;8.15;1048;89608;9,784023;48,266986;Baden-Württemberg
Oberdischingen;8.82;2245;89610;9,830802;48,30176;Baden-Württemberg
Öpfingen;8.88;2368;89614;9,802832;48,286194;Baden-Württemberg
Hüttisheim;10.36;1493;89185;9,94165;48,280646;Baden-Württemberg
Schnürpflingen;10.71;1423;89194;9,994004;48,273078;Baden-Württemberg
Illerkirchberg;11.45;4919;89171;9,999035;48,33831;Baden-Württemberg
Staig;17.75;3262;89195;9,991027;48,299083;Baden-Württemberg
Laichingen;69.83;12118;89150;9,685733;48,489445;Baden-Württemberg
Merklingen;21.31;2098;89188;9,755088;48,511695;Baden-Württemberg
Nellingen;35.77;2058;89191;9,791311;48,541984;Baden-Württemberg
Westerheim;22.91;3026;72589;9,624072;48,515159;Baden-Württemberg
Heroldstatt;22.58;2831;72535;9,669339;48,446332;Baden-Württemberg
Altheim (Alb);25.77;1736;89174;10,025037;48,581738;Baden-Württemberg
Asselfingen;12.86;1026;89176;10,1914;48,529714;Baden-Württemberg
Ballendorf;14.22;652;89177;10,07723;48,554937;Baden-Württemberg
Bernstadt;13.94;2327;89182;10,023964;48,500014;Baden-Württemberg
Börslingen;6.28;168;89177;10,063069;48,538957;Baden-Württemberg
Breitingen;2.89;362;89183;9,991461;48,517286;Baden-Württemberg
Holzkirch;8.14;275;89183;9,99421;48,531479;Baden-Württemberg
Langenau;75.03;15501;89129;10,121087;48,499499;Baden-Württemberg
Neenstetten;8.3;845;89189;10,021476;48,545493;Baden-Württemberg
Nerenstetten;6.09;352;89129;10,099582;48,529959;Baden-Württemberg
Öllingen;8.09;563;89129;10,148065;48,527741;Baden-Württemberg
Rammingen;14.03;1337;89192;10,170794;48,519683;Baden-Württemberg
Setzingen;8.42;695;89129;10,126705;48,538048;Baden-Württemberg
Weidenstetten;17.21;1386;89197;9,997084;48,552147;Baden-Württemberg
Amstetten;49.8;4125;73340;9,876125;48,577697;Baden-Württemberg
Lonsee;43.32;5121;89173;9,917632;48,543054;Baden-Württemberg
Emeringen;7.52;157;88499;9,517274;48,234296;Baden-Württemberg
Emerkingen;7.4;840;89607;9,656266;48,214609;Baden-Württemberg
Grundsheim;3.7;219;89613;9,667765;48,177459;Baden-Württemberg
Hausen am Bussen;3.52;261;89597;9,624615;48,211503;Baden-Württemberg
Lauterach;13.76;603;89584;9,579242;48,256068;Baden-Württemberg
Munderkingen;13.07;5385;89597;9,647663;48,236714;Baden-Württemberg
Obermarchtal;26.59;1311;89611;9,568532;48,233294;Baden-Württemberg
Oberstadion;15.78;1597;89613;9,691361;48,186931;Baden-Württemberg
Rechtenstein;3.78;303;89611;9,544232;48,241602;Baden-Württemberg
Rottenacker;10.29;2217;89616;9,687742;48,235057;Baden-Württemberg
Untermarchtal;5.62;841;89617;9,612757;48,24096;Baden-Württemberg
Unterstadion;8.83;788;89619;9,690197;48,204552;Baden-Württemberg
Unterwachingen;2.6;199;89597;9,643433;48,203784;Baden-Württemberg
Schemmerhofen;50.17;8653;88433;9,789396;48,174914;Baden-Württemberg
Alleshausen;11.29;546;88422;9,621543;48,102679;Baden-Württemberg
